subgroup,year,percentile,Annuitized Financial Income,DB Pension Income,Earned Income,Federal Income Tax,HI tax,Imputed Rental Income,Means+Nonmeans Benefits,Medicare Part B Premium,Medicare Part D Premium,Medicare Surtax,Net Annuity Income,Net Cash Income,OASDI tax,Other Family Member Income,Own Benefit,Own Earnings,Per Capita Annuity Income,Per Capita BMB,Per Capita Cash Income,Per Capita Dividend Income,Per Capita Interest Income,Per Capita IRA Withdrawal,Per Capita Rental Income,Social Security Benefits,Spouse Benefit,Spouse Earnings,SSI,State Income Tax,group
Bottom Quintile (Lifetime Earnings),2045,P99,49487,6748,55474,8255,797,18154,20637,2977,1119,4,74865,56942,3682,133768,22851,47538,89721,8579,73080,8946,5764,8778,10041,23746,22851,79318,8320,1940,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2055,P10,-68.7,0,0,0,0,0,0,3717.23,0,0,-1537.48,-3717.23,0,0,0,0,3281.68,0,376.42,0,0,0,0,0,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2055,P25,91.9,0,0,0,0,0,0,3717.2,1396.5,0,6916.1,5362.7,0,0,0,0,11912,0,10332,0,0,0,0,266.10000000000002,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2055,P5,-90.62,0,0,0,0,0,0,3717.23,0,0,-4376.68,-5113.7700000000004,0,0,0,0,192.89,0,0,0,0,0,0,0,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2055,P50,967.2,0,0,0,0,0,0,3717.2,1396.5,0,12504.7,10183.4,0,0,10467.1,0,17270.8,0,14959.1,0,0,0,0,11695.1,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2055,P75,3465,0,0,0,0,1759,0,3717,1397,0,20517,15378,0,19300,14645,0,25762,2980,20459,0,15,171,0,14972,5772,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2055,P90,8939,0,15256,1153,188,4663,0,3717,1397,0,33691,26981,868,52237,16797,9755,40296,6276,33915,14,564,1448,0,16703,13446,5920,0,115,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2055,P95,15657,540,28541,3225,371,7693,8883,3717,1397,0,46486,37678,1715,131036,19005,22385,55283,7860,46375,1726,1442,3018,0,18909,16548,29689,0,572,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2055,P99,56521,5441,60348,11414,832,19709,22783,3717,1397,441,84701,67925,3844,148956,25944,57343,98569,9763,86784,13468,8238,11874,14395,26700,24882,87879,8080,2431,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2065,P10,-70.5,0,0,0,0,0,0,4517.92,0,0,-1824.98,-4482.68,0,0,0,0,4078.71,0,870.46,0,0,0,0,0,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2065,P25,128.5,0,0,0,0,0,0,4517.8999999999996,1697.3,0,7393.5,5651,0,0,358,0,13362.7,0,11663,0,0,0,0,2504.8000000000002,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2065,P5,-93,0,0,0,0,0,0,4517.92,0,0,-5058.04,-6211.5,0,0,0,0,436.29,0,0,0,0,0,0,0,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2065,P50,1115.7,0,0,0,0,0,0,4517.8999999999996,1697.3,0,13251.5,10886.9,0,0,11855.6,0,19120.5,0,16752.2,0,0,0,0,12951.5,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2065,P75,3998,0,0,0,0,1893,0,4518,1697,0,22293,17139,0,21461,16331,0,28807,3481,23248,0,28,314,0,16657,6560,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2065,P90,10275,0,16758,1598,199,5194,0,4518,1697,0,36160,28814,920,45105,18791,10337,44223,6889,36700,34,651,1963,0,18691,14853,741,0,166,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2065,P95,17647,410,29573,3713,376,8673,10125,4518,1697,46,49760,39966,1739,143412,21694,25259,59790,8833,49892,2060,1800,3908,0,21631,18333,28814,0,626,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2065,P99,60005,6229,68230,13941,887,24576,23880,4518,1697,895,93108,73290,4099,165636,28824,64166,111652,11022,96170,15272,10344,12270,18203,29741,27790,91185,7847,2565,Lifetime Earnings Quintile
Bottom Quintile (Per Capita Income),2015,P10,-55.09,0,0,0,0,0,0,1500.08,0,0,587.75,-1325,0,0,0,0,2581.5700000000002,0,426,0,0,0,0,0,0,0,0,0,Per Capita Income Quintile
