subgroup,year,percentile,Annuitized Financial Income,DB Pension Income,Earned Income,Federal Income Tax,HI tax,Imputed Rental Income,Means+Nonmeans Benefits,Medicare Part B Premium,Medicare Part D Premium,Medicare Surtax,Net Annuity Income,Net Cash Income,OASDI tax,Other Family Member Income,Own Benefit,Own Earnings,Per Capita Annuity Income,Per Capita BMB,Per Capita Cash Income,Per Capita Dividend Income,Per Capita Interest Income,Per Capita IRA Withdrawal,Per Capita Rental Income,Social Security Benefits,Spouse Benefit,Spouse Earnings,SSI,State Income Tax,group
All Individuals,2015,P25,1062.7,0,0,0,0,527,0,1500.1,0,0,18721.900000000001,13668.7,0,0,5394.5,0,20845.099999999999,0,15718.7,0,0,0,0,6119,0,0,0,0,All Individuals
All Individuals,2015,P5,-34.53,0,0,0,0,0,0,0,0,0,5916.92,4291.3599999999997,0,0,0,0,7896.92,0,6258.92,0,0,0,0,0,0,0,0,0,All Individuals
All Individuals,2015,P50,5229.5,0,0,0,0,2363.1,0,1500.1,513.6,0,34347.599999999999,24136.2,0,0,12711.6,0,37924,0,27078.3,0,0,0,0,12709,0,0,0,0,All Individuals
All Individuals,2015,P75,17907,8050,16224,3267,195,5382,0,1500,514,0,59859,40255,833,0,19250,9220,67880,0,46962,57,288,1051,0,17736,11555,0,0,503,All Individuals
All Individuals,2015,P90,48146,20243,39275,8892,529,9941,0,1500,514,0,99706,60791,2261,13742,24031,40146,115596,0,75603,3058,2015,5884,0,21823,20619,34018,0,1987,All Individuals
All Individuals,2015,P95,86702,30046,59319,14433,794,14051,7101,2100,514,0,142043,77462,3397,52170,26323,63594,162752,0,98579,9378,4555,10467,2564,24380,24361,57605,0,3486,All Individuals
All Individuals,2015,P99,264908,58925,112715,38385,1583,25648,15487,3900,1007,879,312108,123006,5307,66422,30203,128766,342690,0,170851,34716,15556,26891,22516,29198,29234,127629,7124,8868,All Individuals
All Individuals,2025,P10,170.55,0,0,0,0,0,0,1862.3,0,0,9713.64,7977.54,0,0,0,0,12256.36,0,10507.39,0,0,0,0,0,0,0,0,0,All Individuals
All Individuals,2025,P25,1363.7,0,0,0,0,505.7,0,1862.3,0,0,19019.8,14301.3,0,0,7016,0,21854.9,0,16962,0,0,0,0,7759.4,0,0,0,0,All Individuals
All Individuals,2025,P5,-26.35,0,0,0,0,0,0,0,0,0,6293.12,4443.82,0,0,0,0,8819.0300000000007,0,7098.83,0,0,0,0,0,0,0,0,0,All Individuals
All Individuals,2025,P50,6100.5,0,0,102,0,2280.9,0,1862.3,699.6,0,35641.5,25822.2,0,0,14011.1,0,40344.800000000003,0,29679.8,0,0,0,0,13901,0,0,0,0,All Individuals
